Date	Open	High	Low	Close	Volume	Stock Splits
03-10-2013	4.728713989	4.778571129	4.543570995	4.596000195	246134000	0
04-10-2013	4.624000072	4.690000057	4.550570965	4.675142765	168140000	0
07-10-2013	4.629143238	4.671000004	4.545000076	4.545143127	146349000	0
08-10-2013	4.561285973	4.593142986	4.279571056	4.318857193	286783000	0
09-10-2013	4.289000034	4.294000149	4.039999962	4.120429039	419489000	0
10-10-2013	4.300000191	4.391857147	4.234285831	4.342713833	306950000	0
11-10-2013	4.347286224	4.394429207	4.287570953	4.297856808	192003000	0
14-10-2013	4.4372859	4.646714211	4.371428967	4.633714199	456596000	0
15-10-2013	4.644286156	4.676143169	4.561999798	4.595571041	268485000	0
16-10-2013	4.572999954	4.650000095	4.546570778	4.612570763	188433000	0
17-10-2013	4.603000164	4.71728611	4.566571236	4.715713978	192724000	0
18-10-2013	4.771429062	4.806857109	4.679999828	4.764286041	254548000	0
21-10-2013	4.898857117	5.077428818	4.858571053	5.071286201	650902000	0
22-10-2013	5.540571213	5.559429169	4.592856884	4.607429028	1810998000	0
23-10-2013	4.533143044	4.788428783	4.528571129	4.717713833	583765000	0
24-10-2013	4.734857082	4.812142849	4.62371397	4.731713772	335594000	0
25-10-2013	4.728570938	4.817142963	4.655857086	4.686142921	240625000	0
28-10-2013	4.643000126	4.728000164	4.45442915	4.485713959	342608000	0
29-10-2013	4.551000118	4.676713943	4.417142868	4.675714016	309365000	0
30-10-2013	4.696000099	4.698999882	4.508856773	4.544857025	216405000	0
31-10-2013	4.544428825	4.666429043	4.510000229	4.606856823	184898000	0
01-11-2013	4.697570801	4.764286041	4.655714035	4.703856945	220206000	0
04-11-2013	4.727857113	4.82557106	4.644999981	4.822856903	219191000	0
05-11-2013	4.793428898	4.891428947	4.757856846	4.878571033	172893000	0
06-11-2013	4.849856853	4.919570923	4.754143238	4.794713974	207333000	0
07-11-2013	4.842856884	4.852428913	4.645143032	4.669428825	200074000	0
08-11-2013	4.670286179	4.794285774	4.650286198	4.784286022	194488000	0
11-11-2013	4.753571033	4.849999905	4.694571018	4.827285767	168154000	0
12-11-2013	4.80257082	4.849999905	4.733571053	4.767570972	122318000	0
13-11-2013	4.760285854	4.792285919	4.70142889	4.78971386	119679000	0
14-11-2013	4.796999931	4.914286137	4.787428856	4.893857002	201047000	0
15-11-2013	4.922856808	4.998428822	4.901143074	4.996571064	201523000	0
18-11-2013	5	5.006999969	4.849999905	4.882429123	202475000	0
19-11-2013	4.868143082	4.95457077	4.774857044	4.818428993	170576000	0
20-11-2013	4.90500021	4.947856903	4.823571205	4.850286007	194817000	0
21-11-2013	4.88914299	4.981142998	4.881000042	4.978570938	159894000	0
22-11-2013	4.983285904	5.008571148	4.914286137	4.969285965	142023000	0
25-11-2013	4.955714226	5.041856766	4.928713799	5.003428936	139846000	0
26-11-2013	5.007143021	5.09228611	4.965285778	5.074285984	146832000	0
27-11-2013	5.101571083	5.197856903	5.050570965	5.178429127	168329000	0
29-11-2013	5.200714111	5.254285812	5.185856819	5.225714207	83881000	0
02-12-2013	5.212571144	5.256570816	5.137286186	5.198856831	116753000	0
03-12-2013	5.169857025	5.193999767	5.092856884	5.184856892	134008000	0
04-12-2013	5.151286125	5.266428947	5.089285851	5.089570999	193956000	0
05-12-2013	5.111429214	5.15899992	5.048429012	5.115142822	137935000	0
