,Strategy,Kelly,BuyAndHold
323,12.13113399453498,1.4564984884077088,0.21386978844777213
324,12.556327074591994,1.4612939740509108,0.22136586870887687
325,12.698554737047669,1.4625623734340953,0.22387331773173982
326,12.685856182310621,1.4610998110606612,0.21766150097245868
327,12.685856182310621,1.4610998110606612,0.21246307988505972
328,12.112972777843066,1.458774784979367,0.20308087542504796
329,12.100859805065223,1.4573160101943876,0.1919608988712408
330,12.100859805065223,1.4573160101943876,0.19022281444353098
331,13.229881262558813,1.458066959467808,0.20816100249939234
332,14.13502767953713,1.483006035977356,0.22240271652748164
333,14.120892651857593,1.4815230299413786,0.21355014681091647
334,14.120892651857593,1.4815230299413786,0.212953252830957
335,14.424647036835927,1.4825257392092082,0.21774704144155077
336,14.285252835446633,1.4819323371019637,0.2156428183802089
337,14.270967582611187,1.4804504047648617,0.2149978911037298
338,13.53449755502005,1.4740274544519865,0.20411767054684735
339,13.52096305746503,1.4725534269975344,0.1955794460245701
340,12.878168645502923,1.4641864882058144,0.18647706537226952
341,12.86529047685742,1.4627223017176085,0.17909031513296786
342,13.946295190003594,1.4766742900356038,0.1943174508137164
343,14.522786750920867,1.4893217078058687,0.20234986150106224
344,14.508263964169945,1.487832386098063,0.2133067510752319
345,15.178798354498152,1.5039074518201032,0.22337854348926114
346,15.163619556143654,1.502403544368283,0.24824091818867472
347,16.867158654215096,1.5434731838166593,0.2763774946266124
348,16.85029149556088,1.5419297106328427,0.29381977597603276
349,17.731378295964404,1.5609297976677836,0.3094771712947942
350,17.71364691766844,1.5593688678701159,0.3110268394221758
351,18.71002223003152,1.5720512756611937,0.3288328217455228
352,19.090626703807725,1.576582983721148,0.3355220304242764
353,19.071536077103918,1.575006400737427,0.33226367337341495
354,19.071536077103918,1.575006400737427,0.3266017353784477
355,19.071536077103918,1.575006400737427,0.3166949937580201
356,19.071536077103918,1.575006400737427,0.2962098522982874
357,19.071536077103918,1.575006400737427,0.27793626987405984
358,19.071536077103918,1.575006400737427,0.2655055060241699
359,19.071536077103918,1.575006400737427,0.2551836955332519
360,19.071536077103918,1.575006400737427,0.25779629941055515
361,18.761892062319113,1.5711135567454646,0.25386853452478236
362,18.743130170256794,1.569542443188719,0.2649594948113285
363,21.335001209549052,1.6226258549818442,0.3018640569204763
364,23.220445441402347,1.6584750509659796,0.32854077652008945
365,24.826740292579288,1.6783538990053481,0.3512678753200521
366,25.386703889094235,1.6860686403221719,0.35919067229163737
367,25.36131718520514,1.6843825716818497,0.3419143124127661
368,25.36131718520514,1.6843825716818497,0.3217583398725478
369,25.36131718520514,1.6843825716818497,0.3106109877087269
370,25.36131718520514,1.6843825716818497,0.30921961584734164
371,25.90982226804488,1.6842103538276885,0.31621652166526687
372,25.805890362670183,1.6835709967252044,0.3149480843418599
373,25.780084472307514,1.6818874257284793,0.30378715559345054
374,25.780084472307514,1.6818874257284793,0.2989144733842431
375,27.987837717728176,1.6817372663147638,0.32481180664582615
376,31.57298144338224,1.7355934258128225,0.36641905842280154
377,33.11065776404092,1.7531483451116845,0.3842645036046309
378,32.65518495016803,1.7512894048348722,0.3789785308530309
379,32.62252976521786,1.7495381154300373,0.36141405586801795
380,32.62252976521786,1.7495381154300373,0.35659271536503845
381,33.09169302549504,1.7494336900097984,0.3620776718871285
382,34.33523386702898,1.752361761651147,0.37568405861543147
383,34.87971125642426,1.7573740065245917,0.3816415388022426
384,34.844831545167835,1.755616632518067,0.3820351056769151
385,35.10295980075672,1.755376820665783,0.3852472321054406
386,35.06785684095596,1.7536214438451172,0.3492528210780561
387,35.06785684095596,1.7536214438451172,0.31945153576491553
388,34.77799977300983,1.7516775620318672,0.3171305269518301
389,34.74322177323682,1.7499258844698353,0.3143815142086755
390,35.87261100988262,1.7490180870725247,0.32491541712090244
391,37.06259656104096,1.7594565570085499,0.33569368613555384
392,36.689434023246456,1.75929618108434,0.33231377432517584
393,36.65274458922321,1.7575368849032555,0.317157366438349
394,36.65274458922321,1.7575368849032555,0.29771674091316325
395,36.65274458922321,1.7575368849032555,0.30499805294304305
396,38.9988924329064,1.7843437841212442,0.3248260234843898
397,39.511967038626956,1.7861865398565868,0.3290994777680916
398,41.45888955787722,1.7877298115682414,0.3453156075222448
399,43.532183232201724,1.8100801985977313,0.3625842963934682
400,44.39604590268651,1.8109339239942674,0.369779502682286
401,45.18018142617065,1.814905682755528,0.376310652878523
402,46.89690131790993,1.8157071789503831,0.39060939987062226
403,48.69588045789106,1.8319307521191777,0.40559329310237907
404,49.08093808103498,1.8321764714963014,0.4088004799924522
405,49.9148007083866,1.8343530185565406,0.4157458126539082
406,49.323620600970365,1.832937500383083,0.41082180913802735
